id_codedep_codecommune,dep_code,code_postal,nom_commune,pmun,ptot
57229,57,,Foulcrey,156,159
57230,57,,Fouligny,195,197
57231,57,,Foville,99,99
57232,57,,Francaltroff,776,788
57233,57,,Fraquelfing,85,86
57234,57,,Frauenberg,597,605
57235,57,,Freistroff,1037,1057
57236,57,,Frémery,84,84
57237,57,,Frémestroff,304,311
57238,57,,Fresnes-en-Saulnois,190,196
57239,57,,Freybouse,432,438
57240,57,,Freyming-Merlebach,12725,12845
57241,57,,Fribourg,166,174
57242,57,,Gandrange,3028,3063
57243,57,,Garche,,
57244,57,,Garrebourg,491,502
57245,57,,Gavisse,570,579
57246,57,,Gelucourt,215,219
57247,57,,Gerbécourt,80,83
57248,57,,Givrycourt,87,88
57249,57,,Glatigny,259,266
57250,57,,Goetzenbruck,1494,1534
57251,57,,Goin,339,341
57252,57,,Gomelange,480,490
57253,57,,Gondrexange,501,504
57254,57,,Gorze,1157,1167
57255,57,,Gosselming,575,598
57256,57,,Gravelotte,827,831
57257,57,,Grémecey,105,105
57258,57,,Gréning,118,119
57259,57,,Grindorff-Bizing,319,326
57260,57,,Grosbliederstroff,3296,3349
57261,57,,Gros-Réderching,1350,1390
57262,57,,Grostenquin,647,654
57263,57,,Grundviller,642,661
57264,57,,Guebenhouse,411,417
57265,57,,Guébestroff,58,62
57266,57,,Guéblange-lès-Dieuze,150,154
57267,57,,Le Val-de-Guéblange,850,868
57268,57,,Guébling,123,127
57269,57,,Guénange,7559,7626
57270,57,,Val-de-Bride,583,596
57271,57,,Guenviller,667,684
57272,57,,Guermange,88,93
57273,57,,Guerstling,395,404
57274,57,,Guerting,856,876
57275,57,,Guessling-Hémering,919,931
57276,57,,Guinglange,328,333
57277,57,,Guinkirchen,149,155
57278,57,,Guinzeling,66,66
57279,57,,Guirlange,,
57280,57,,Guntzviller,370,390
57281,57,,Haboudange,246,251
57282,57,,Hagen,357,361
57283,57,,Hagondange,9287,9392
57284,57,,Hallering,113,118
57285,57,,Halling-lès-Boulay,,
57286,57,,Halstroff,305,314
57287,57,,Basse-Ham,2226,2270
57288,57,,Ham-sous-Varsberg,2848,2888
57289,57,,Hambach,2875,2942
57290,57,,Hampont,180,182
57291,57,,Hangviller,263,267
57292,57,,Hannocourt,20,20
57293,57,,Han-sur-Nied,258,264
57294,57,,Hanviller,198,206
57295,57,,Haraucourt-sur-Seille,106,107
57296,57,,Hargarten-aux-Mines,1096,1116
57297,57,,Harprich,183,189
57298,57,,Harreberg,382,389
57299,57,,Hartzviller,917,933
57300,57,,Haselbourg,330,337
57301,57,,Haspelschiedt,304,316
57302,57,,Hattigny,189,190
57303,57,,Hauconcourt,599,608
57304,57,,Haut-Clocher,355,366
57305,57,,Havange,451,459
57306,57,,Hayange,16005,16191
57307,57,,Hayes,249,254
57308,57,,Hazembourg,149,154
57309,57,,Heining-lès-Bouzonville,483,492
57310,57,,Hellering-lès-Fénétrange,190,194
57311,57,,Hellimer,527,536
57312,57,,Helstroff,506,514
57313,57,,Hémilly,141,144
57314,57,,Héming,496,499
57315,57,,Henridorff,712,727
57316,57,,Henriville,744,760
57317,57,,Hérange,108,112
57318,57,,Hermelange,215,220
57319,57,,Herny,521,526
57320,57,,Hertzing,183,186
57321,57,,Hesse,563,582
57322,57,,Hestroff,466,472
57323,57,,Hettange-Grande,7779,7946
57324,57,,Hilbesheim,617,639
57325,57,,Hilsprich,832,849
57326,57,,Hinckange,333,337
57327,57,,Hoff,,
57328,57,,Holacourt,89,91
57329,57,,Holling,433,444
57330,57,,Holving,1283,1304
57331,57,,Hombourg-Budange,543,553
57332,57,,Hombourg-Haut,6283,6344
57333,57,,Hommarting,827,850
57334,57,,Hommert,324,334
57335,57,,Honskirch,221,225
57336,57,,L'Hôpital,5229,5285
57337,57,,Hoste,593,610
57338,57,,Hottviller,515,521
57339,57,,Hultehouse,367,373
57340,57,,Hundling,1345,1365
57341,57,,Hunting,707,723
57342,57,,Ibigny,96,97
57343,57,,Illange,1835,1866
57344,57,,Imling,734,743
57345,57,,Inglange,422,453
57346,57,,Insming,590,613
57347,57,,Insviller,174,177
57348,57,,Ippling,797,814
57349,57,,Jallaucourt,154,157
57350,57,,Jouy-aux-Arches,1438,1458
57351,57,,Jury,1223,1242
57352,57,,Jussy,445,460
57353,57,,Juvelize,72,73
57354,57,,Juville,122,127
57355,57,,Kalhausen,806,823
57356,57,,Kanfen,1198,1220
57357,57,,Kappelkinger,404,406
57358,57,,Kédange-sur-Canner,1080,1102
57359,57,,Kemplich,170,174
57360,57,,Kerbach,1199,1232
57361,57,,Kerling-lès-Sierck,598,615
57362,57,,Kerprich-aux-Bois,174,177
57363,57,,Kerprich-lès-Dieuze,,
57364,57,,Kirsch-lès-Sierck,312,319
57365,57,,Kirschnaumen,474,485
57366,57,,Kirviller,139,141
57367,57,,Klang,225,229
57368,57,,Knutange,3192,3251
57369,57,,Koeking,,
57370,57,,KÅ“nigsmacker,2256,2295
57371,57,,Haute-Kontz,584,591
57372,57,,Kuntzig,1357,1372
57373,57,,Lachambre,932,959
57374,57,,Lafrimbolle,198,204
57375,57,,Lagarde,186,187
57376,57,,Lambach,504,510
57377,57,,Landange,243,247
57378,57,,Landonvillers,,
57379,57,,Landroff,273,275
57380,57,,Laneuveville-lès-Lorquin,106,109
57381,57,,Laneuveville-en-Saulnois,292,298
57382,57,,Langatte,557,563
57383,57,,Languimberg,164,170
57384,57,,Laning,620,638
57385,57,,Laquenexy,1220,1242
57386,57,,Laudrefang,345,352
57387,57,,Laumesfeld,290,291
57388,57,,Launstroff,267,271
57389,57,,Lelling,471,483
57390,57,,Lemberg,1432,1470
57391,57,,Lemoncourt,65,66
57392,57,,Lemud,527,531
57393,57,,Lengelsheim,206,209
57394,57,,Léning,340,352
57395,57,,Lesse,204,208
57396,57,,Lessy,736,764
57397,57,,Ley,102,103
57398,57,,Leyviller,502,510
57399,57,,Lezey,94,102
57400,57,,Lidrequin,,
57401,57,,Lidrezing,85,86
57402,57,,Liederschiedt,120,124
57403,57,,Liéhon,123,123
57404,57,,Lindre-Basse,209,216
57405,57,,Lindre-Haute,53,54
57406,57,,Liocourt,138,145
57407,57,,Lixheim,591,597
57408,57,,Lixing-lès-Rouhling,877,896
57409,57,,Lixing-lès-Saint-Avold,673,688
57410,57,,Lhor,137,140
57411,57,,Lommerange,334,335
57412,57,,Longeville-lès-Metz,3955,4019
57413,57,,Longeville-lès-Saint-Avold,3651,3735
57414,57,,Lorquin,1147,1173
57415,57,,Lorry-lès-Metz,1748,1824
57416,57,,Lorry-Mardigny,657,674
57417,57,,Lostroff,68,68
57418,57,,Loudrefing,322,326
57419,57,,Loupershouse,904,927
57420,57,,Loutremange,,
57421,57,,Loutzviller,153,156
57422,57,,Louvigny,880,891
57423,57,,Lubécourt,75,75
57424,57,,Lucy,233,235
57425,57,,Luppy,573,577
57426,57,,Luttange,896,904
57427,57,,Lutzelbourg,568,578
57428,57,,Macheren,2753,2820
57429,57,,Magny,,
57430,57,,Mainvillers,330,335
57431,57,,Maizeroy,401,404
57432,57,,Maizery,,
57433,57,,Maizières-lès-Metz,11668,11795
57434,57,,Maizières-lès-Vic,488,497
57435,57,,Malancourt-la-Montagne,,
57436,57,,Malaucourt-sur-Seille,127,133
57437,57,,Malling,631,646
57438,57,,Malroy,348,353
57439,57,,Manderen-Ritzing,602,615
57440,57,,Manhoué,142,145
57441,57,,Manom,2915,2974
57442,57,,Many,242,244
57443,57,,Marange-Silvange,6458,6515
57444,57,,Marange-Zondrange,351,353
57445,57,,Marieulles,701,710
57446,57,,Marimont-lès-Bénestroff,41,42
57447,57,,Marly,10108,10339
57448,57,,Marsal,257,263
57449,57,,Marsilly,598,604
57450,57,,Marspich,,
57451,57,,Marthille,168,171
57452,57,,La Maxe,1011,1027
57453,57,,Maxstadt,298,308
57454,57,,Mécleuves,1139,1163
57455,57,,Mégange,149,152
57456,57,,Meisenthal,674,698
57457,57,,Menskirch,139,141
57458,57,,Merlebach,,
57459,57,,Merschweiller,286,288
57460,57,,Merten,1481,1507
