id_vente,id_bien,date_mutation,nature_mutation,valeur_fonciere
117,117,2020-01-03,Vente,96000.0
118,118,2020-01-03,Vente,135000.0
119,119,2020-01-03,Vente,37000.0
120,120,2020-01-03,Vente,190000.0
121,121,2020-01-03,Vente,39450.0
122,122,2020-01-03,Vente,28500.0
123,123,2020-01-03,Vente,158800.0
124,124,2020-01-03,Vente,268800.0
125,125,2020-01-03,Vente,96450.0
126,126,2020-01-03,Vente,28000.0
127,127,2020-01-03,Vente,73470.0
128,128,2020-01-03,Vente,49500.0
129,129,2020-01-03,Vente,67000.0
130,130,2020-01-03,Vente,176000.0
131,131,2020-01-03,Vente,278300.0
132,132,2020-01-03,Vente,296651.0
133,133,2020-01-03,Vente,159500.0
134,134,2020-01-03,Vente,98545.0
135,135,2020-01-03,Vente,98200.0
136,136,2020-01-03,Vente,110500.0
137,137,2020-01-03,Vente,44500.0
138,138,2020-01-03,Vente,332000.0
139,139,2020-01-03,Vente,221060.0
140,140,2020-01-03,Vente,174845.0
141,141,2020-01-03,Vente,42000.0
142,142,2020-01-03,Vente,445000.0
143,143,2020-01-03,Vente,232750.0
144,144,2020-01-03,Vente,257800.0
145,145,2020-01-03,Vente,125000.0
146,146,2020-01-03,Vente,104792.58
147,147,2020-01-03,Vente,146000.0
148,148,2020-01-03,Vente,174000.0
149,149,2020-01-03,Vente,110000.0
150,150,2020-01-03,Vente,370700.0
151,151,2020-01-03,Vente,62800.0
152,152,2020-01-03,Vente,251105.0
153,153,2020-01-03,Vente,342700.0
154,154,2020-01-03,Vente,65000.0
155,155,2020-01-03,Vente,133000.0
156,156,2020-01-03,Vente,66370.0
157,157,2020-01-03,Vente,594700.0
158,158,2020-01-03,Vente,71000.0
159,159,2020-01-03,Vente,140000.0
160,160,2020-01-03,Vente,112000.0
161,161,2020-01-03,Vente,121000.0
162,162,2020-01-03,Vente,109950.0
163,163,2020-01-03,Vente,314500.0
164,164,2020-01-03,Vente,167600.0
165,165,2020-01-03,Vente,157080.0
166,166,2020-01-03,Vente,164720.0
167,167,2020-01-03,Vente,273080.0
168,168,2020-01-03,Vente,118650.0
169,169,2020-01-03,Vente,157000.0
170,170,2020-01-03,Vente,63885.0
171,171,2020-01-03,Vente,255000.0
172,172,2020-01-03,Vente,445000.0
173,173,2020-01-03,Vente,852000.0
174,174,2020-01-03,Vente,335000.0
175,175,2020-01-03,Vente,278500.0
176,176,2020-01-03,Vente,497270.0
177,177,2020-01-03,Vente,1469500.0
178,178,2020-01-03,Vente,270000.0
179,179,2020-01-03,Vente,434000.0
180,180,2020-01-03,Vente,352000.0
181,181,2020-01-03,Vente,512000.0
182,182,2020-01-03,Vente,246150.0
183,183,2020-01-03,Vente,573721.0
184,184,2020-01-03,Vente,917350.0
185,185,2020-01-03,Vente,625500.0
186,186,2020-01-03,Vente,673315.0
187,187,2020-01-03,Vente,707350.0
188,188,2020-01-03,Vente,461200.0
189,189,2020-01-03,Vente,502700.0
190,190,2020-01-03,Vente,276000.0
191,191,2020-01-03,Vente,638000.0
192,192,2020-01-03,Vente,196500.0
193,193,2020-01-03,Vente,34500.0
194,194,2020-01-03,Vente,116000.0
195,195,2020-01-03,Vente,93200.0
196,196,2020-01-03,Vente,142000.0
197,197,2020-01-03,Vente,98000.0
198,198,2020-01-03,Vente,172500.0
199,199,2020-01-03,Vente,141000.0
200,200,2020-01-03,Vente,440000.0
201,201,2020-01-03,Vente,131600.0
202,202,2020-01-03,Vente,205000.0
203,203,2020-01-03,Vente,93800.0
204,204,2020-01-03,Vente,135450.0
205,205,2020-01-03,Vente,102000.0
206,206,2020-01-03,Vente,185000.0
207,207,2020-01-03,Vente,196100.0
208,208,2020-01-03,Vente,212231.0
209,209,2020-01-03,Vente,113000.0
210,210,2020-01-03,Vente,331000.0
211,211,2020-01-03,Vente,93000.0
212,212,2020-01-03,Vente,596370.0
213,213,2020-01-03,Vente,97000.0
214,214,2020-01-03,Vente,305000.0
215,215,2020-01-03,Vente,99840.0
216,216,2020-01-03,Vente,150020.0
217,217,2020-01-03,Vente,300000.0
218,218,2020-01-03,Vente,121000.0
219,219,2020-01-03,Vente,148570.0
220,220,2020-01-03,Vente,105840.0
221,221,2020-01-03,Vente,138000.0
222,222,2020-01-03,Vente,33000.0
223,223,2020-01-03,Vente,40000.0
224,224,2020-01-03,Vente,56650.0
225,225,2020-01-03,Vente,160000.0
226,226,2020-01-03,Vente,360000.0
227,227,2020-01-03,Vente,171000.0
228,228,2020-01-03,Vente,213500.0
229,229,2020-01-03,Vente,157500.0
230,230,2020-01-03,Vente,255680.0
231,231,2020-01-03,Vente,244000.0
232,232,2020-01-03,Vente,435000.0
233,233,2020-01-03,Vente,254000.0
234,234,2020-01-03,Vente,284984.0
235,235,2020-01-03,Vente,302000.0
236,236,2020-01-03,Vente,548000.0
237,237,2020-01-03,Vente,877100.0
238,238,2020-01-03,Vente,213615.0
239,239,2020-01-03,Vente,300800.0
240,240,2020-01-03,Vente,857950.0
241,241,2020-01-03,Vente,380000.0
242,242,2020-01-03,Vente,318700.0
243,243,2020-01-03,Vente,256760.0
244,244,2020-01-03,Vente,291262.0
245,245,2020-01-03,Vente,161320.0
246,246,2020-01-03,Vente,164000.0
247,247,2020-01-03,Vente,662300.0
248,248,2020-01-03,Vente,227600.0
249,249,2020-01-03,Vente,312450.0
250,250,2020-01-03,Vente,348450.0
251,251,2020-01-03,Vente,298333.0
252,252,2020-01-03,Vente,326200.0
253,253,2020-01-03,Vente,349000.0
254,254,2020-01-03,Vente,43000.0
255,255,2020-01-03,Vente,192000.0
256,256,2020-01-03,Vente,142100.0
257,257,2020-01-03,Vente,572000.0
258,258,2020-01-03,Vente,130000.0
259,259,2020-01-03,Vente,134000.0
260,260,2020-01-03,Vente,209000.0
261,261,2020-01-03,Vente,378850.0
262,262,2020-01-03,Vente,440425.0
263,263,2020-01-03,Vente,331000.0
264,264,2020-01-03,Vente,410370.0
265,265,2020-01-03,Vente,145000.0
266,266,2020-01-03,Vente,218000.0
267,267,2020-01-03,Vente,269000.0
268,268,2020-01-03,Vente,374675.0
269,269,2020-01-03,Vente,163000.0
270,270,2020-01-03,Vente,224500.0
271,271,2020-01-03,Vente,159000.0
272,272,2020-01-03,Vente,195600.0
273,273,2020-01-03,Vente,240000.0
274,274,2020-01-03,Vente,174000.0
275,275,2020-01-04,Vente,84000.0
276,276,2020-01-04,Vente,76100.0
277,277,2020-01-04,Vente,67750.0
278,278,2020-01-04,Vente,75200.0
279,279,2020-01-04,Vente,176000.0
280,280,2020-01-04,Vente,123000.0
281,281,2020-01-04,Vente,87900.0
282,282,2020-01-04,Vente,57200.0
283,283,2020-01-04,Vente,74000.0
284,284,2020-01-06,Vente,285000.0
285,285,2020-01-06,Vente,429250.0
286,286,2020-01-06,Vente,196000.0
287,287,2020-01-06,Vente,443000.0
288,288,2020-01-06,Vente,170000.0
289,289,2020-01-06,Vente,128600.0
290,290,2020-01-06,Vente,81000.0
291,291,2020-01-06,Vente,335000.0
292,292,2020-01-06,Vente,212200.0
293,293,2020-01-06,Vente,643815.0
294,294,2020-01-06,Vente,113200.0
295,295,2020-01-06,Vente,88000.0
296,296,2020-01-06,Vente,99500.0
297,297,2020-01-06,Vente,90000.0
298,298,2020-01-06,Vente,68600.0
299,299,2020-01-06,Vente,52000.0
300,300,2020-01-06,Vente,207500.0
301,301,2020-01-06,Vente,237000.0
302,302,2020-01-06,Vente,72200.0
303,303,2020-01-06,Vente,318000.0
304,304,2020-01-06,Vente,330850.0
305,305,2020-01-06,Vente,144950.0
306,306,2020-01-06,Vente,144000.0
307,307,2020-01-06,Vente,82000.0
308,308,2020-01-06,Vente,298000.0
309,309,2020-01-06,Vente,91000.0
310,310,2020-01-06,Vente,265000.0
311,311,2020-01-06,Vente,197000.0
312,312,2020-01-06,Vente,375000.0
313,313,2020-01-06,Vente,104000.0
314,314,2020-01-06,Vente,173000.0
315,315,2020-01-06,Vente,275000.0
316,316,2020-01-06,Vente,160000.0
317,317,2020-01-06,Vente,110000.0
318,318,2020-01-06,Vente,53900.0
319,319,2020-01-06,Vente,206300.0
320,320,2020-01-06,Vente,72000.0
321,321,2020-01-06,Vente,188900.0
322,322,2020-01-06,Vente,65000.0
323,323,2020-01-06,Vente,149500.0
324,324,2020-01-06,Vente,150900.0
325,325,2020-01-06,Vente,90000.0
326,326,2020-01-06,Vente,106000.0
327,327,2020-01-06,Vente,86000.0
328,328,2020-01-06,Vente,46000.0
329,329,2020-01-06,Vente,72000.0
330,330,2020-01-06,Vente,88000.0
331,331,2020-01-06,Vente,137000.0
332,332,2020-01-06,Vente,360000.0
333,333,2020-01-06,Vente,33000.0
334,334,2020-01-06,Vente,122450.0
335,335,2020-01-06,Vente,99750.0
336,336,2020-01-06,Vente,153300.0
337,337,2020-01-06,Vente,172950.0
338,338,2020-01-06,Vente,71530.0
339,339,2020-01-06,Vente,78000.0
340,340,2020-01-06,Vente,204000.0
341,341,2020-01-06,Vente,155000.0
342,342,2020-01-06,Vente,134000.0
343,343,2020-01-06,Vente,97000.0
344,344,2020-01-06,Vente,162000.0
345,345,2020-01-06,Vente,142200.0
346,346,2020-01-06,Vente,214000.0
347,347,2020-01-06,Vente,240000.0
348,348,2020-01-06,Vente,120000.0
349,349,2020-01-06,Vente,75200.0
350,350,2020-01-06,Vente,33000.0
351,351,2020-01-06,Vente,31000.0
352,352,2020-01-06,Vente,43000.0
353,353,2020-01-06,Vente,44950.0
354,354,2020-01-06,Vente,138000.0
355,355,2020-01-06,Vente,221300.0
356,356,2020-01-06,Vente,291000.0
357,357,2020-01-06,Vente,145000.0
358,358,2020-01-06,Vente,106000.0
359,359,2020-01-06,Vente,87000.0
360,360,2020-01-06,Vente,127900.0
361,361,2020-01-06,Vente,47000.0
362,362,2020-01-06,Vente,105003.0
363,363,2020-01-06,Vente,37000.0
364,364,2020-01-06,Vente,85500.0
365,365,2020-01-06,Vente,88000.0
366,366,2020-01-06,Vente,30500.0
367,367,2020-01-06,Vente,52381.0
368,368,2020-01-06,Vente,46000.0
369,369,2020-01-06,Vente,86000.0
370,370,2020-01-06,Vente,120300.0
371,371,2020-01-06,Vente,158500.0
372,372,2020-01-06,Vente,270000.0
373,373,2020-01-06,Vente,130000.0
374,374,2020-01-06,Vente,265320.0
375,375,2020-01-06,Vente,325000.0
376,376,2020-01-06,Vente,99900.0
377,377,2020-01-06,Vente,130000.0
378,378,2020-01-06,Vente,202380.0
379,379,2020-01-06,Vente,300000.0
380,380,2020-01-06,Vente,38200.0
381,381,2020-01-06,Vente,240000.0
382,382,2020-01-06,Vente,43000.0
383,383,2020-01-06,Vente,169000.0
384,384,2020-01-06,Vente,368000.0
385,385,2020-01-06,Vente,106574.1
386,386,2020-01-06,Vente,449000.0
387,387,2020-01-06,Vente,334450.0
388,388,2020-01-06,Vente,380000.0
389,389,2020-01-06,Vente,1829700.0
390,390,2020-01-06,Vente,3380000.0
391,391,2020-01-06,Vente,1565002.0
392,392,2020-01-06,Vente,800000.0
393,393,2020-01-06,Vente,362050.0
394,394,2020-01-06,Vente,482000.0
395,395,2020-01-06,Vente,601400.0
396,396,2020-01-06,Vente,506500.0
397,397,2020-01-06,Vente,204650.0
398,398,2020-01-06,Vente,1475700.0
399,399,2020-01-06,Vente,551800.0
400,400,2020-01-06,Vente,362300.0
401,401,2020-01-06,Vente,295700.0
402,402,2020-01-06,Vente,688292.0
403,403,2020-01-06,Vente,596650.0
404,404,2020-01-06,Vente,471000.0
405,405,2020-01-06,Vente,95000.0
406,406,2020-01-06,Vente,590000.0
407,407,2020-01-06,Vente,533000.0
408,408,2020-01-06,Vente,126000.0
409,409,2020-01-06,Vente,607500.0
410,410,2020-01-06,Vente,7420000.0
411,411,2020-01-06,Vente,328950.0
412,412,2020-01-06,Vente,552800.0
413,413,2020-01-06,Vente,343000.0
414,414,2020-01-06,Vente,532000.0
415,415,2020-01-06,Vente,1613000.0
416,416,2020-01-06,Vente,352500.0
417,417,2020-01-06,Vente,276930.0
418,418,2020-01-06,Vente,1188000.0
419,419,2020-01-06,Vente,112000.0
420,420,2020-01-06,Vente,403000.0
421,421,2020-01-06,Vente,60000.0
422,422,2020-01-06,Vente,124000.0
423,423,2020-01-06,Vente,225000.0
424,424,2020-01-06,Vente,185500.0
425,425,2020-01-06,Vente,113000.0
426,426,2020-01-06,Vente,45000.0
427,427,2020-01-06,Vente,189000.0
428,428,2020-01-06,Vente,145000.0
429,429,2020-01-06,Vente,257000.0
430,430,2020-01-06,Vente,175000.0
431,431,2020-01-06,Vente,370050.0
432,432,2020-01-06,Vente,128000.0
433,433,2020-01-06,Vente,168500.0
434,434,2020-01-06,Vente,582000.0
435,435,2020-01-06,Vente,181500.0
436,436,2020-01-06,Vente,240750.0
437,437,2020-01-06,Vente,271500.0
438,438,2020-01-06,Vente,102820.0
439,439,2020-01-06,Vente,740000.0
440,440,2020-01-06,Vente,54000.0
441,441,2020-01-06,Vente,224900.0
442,442,2020-01-06,Vente,90000.0
443,443,2020-01-06,Vente,148500.0
444,444,2020-01-06,Vente,372841.0
445,445,2020-01-06,Vente,235200.0
446,446,2020-01-06,Vente,80000.0
447,447,2020-01-06,Vente,182500.0
448,448,2020-01-06,Vente,103000.0
449,449,2020-01-06,Vente,51000.0
450,450,2020-01-06,Vente,134500.0
451,451,2020-01-06,Vente,39000.0
452,452,2020-01-06,Vente,168636.6
453,453,2020-01-06,Vente,265000.0
454,454,2020-01-06,Vente,134000.0
455,455,2020-01-06,Vente,291150.0
456,456,2020-01-06,Vente,377000.0
457,457,2020-01-06,Vente,391200.0
458,458,2020-01-06,Vente,476469.0
459,459,2020-01-06,Vente,910000.0
460,460,2020-01-06,Vente,186000.0
461,461,2020-01-06,Vente,164000.0
462,462,2020-01-06,Vente,185000.0
463,463,2020-01-06,Vente,388326.0
464,464,2020-01-06,Vente,606820.0
465,465,2020-01-06,Vente,423100.0
466,466,2020-01-06,Vente,518192.0
467,467,2020-01-06,Vente,345000.0
468,468,2020-01-06,Vente,335000.0
469,469,2020-01-06,Vente,121000.0
470,470,2020-01-06,Vente,380000.0
471,471,2020-01-06,Vente,1550000.0
472,472,2020-01-06,Vente,645000.0
473,473,2020-01-06,Vente,825750.0
474,474,2020-01-06,Vente,345000.0
475,475,2020-01-06,Vente,166000.0
476,476,2020-01-06,Vente,254800.0
477,477,2020-01-06,Vente,460000.0
478,478,2020-01-06,Vente,1225000.0
479,479,2020-01-06,Vente,354750.0
480,480,2020-01-06,Vente,196800.0
481,481,2020-01-06,Vente,156350.0
482,482,2020-01-06,Vente,350000.0
483,483,2020-01-06,Vente,644000.0
484,484,2020-01-06,Vente,319000.0
485,485,2020-01-06,Vente,160000.0
486,486,2020-01-06,Vente,240000.0
487,487,2020-01-06,Vente,435000.0
488,488,2020-01-06,Vente,408000.0
489,489,2020-01-06,Vente,153000.0
490,490,2020-01-06,Vente,187000.0
491,491,2020-01-06,Vente,420600.0
492,492,2020-01-06,Vente,281000.0
493,493,2020-01-06,Vente,168500.0
494,494,2020-01-06,Vente,267000.0
495,495,2020-01-06,Vente,129000.0
496,496,2020-01-06,Vente,197050.0
497,497,2020-01-06,Vente,389980.0
498,498,2020-01-06,Vente,109000.0
499,499,2020-01-06,Vente,195000.0
500,500,2020-01-06,Vente,137000.0
501,501,2020-01-06,Vente,189800.0
502,502,2020-01-06,Vente,285500.0
503,503,2020-01-06,Vente,165000.0
504,504,2020-01-06,Vente,225000.0
505,505,2020-01-06,Vente,252000.0
506,506,2020-01-06,Vente,244783.25
507,507,2020-01-06,Vente,1400000.0
508,508,2020-01-06,Vente,240750.0
509,509,2020-01-06,Vente,100000.0
510,510,2020-01-06,Vente,660000.0
511,511,2020-01-06,Vente,1690000.0
512,512,2020-01-06,Vente,130000.0
513,513,2020-01-06,Vente,179500.0
514,514,2020-01-06,Vente,212500.0
515,515,2020-01-06,Vente,208000.0
516,516,2020-01-06,Vente,181230.0
517,517,2020-01-07,Vente,220900.0
518,518,2020-01-07,Vente,212150.0
519,519,2020-01-07,Vente,262000.0
520,520,2020-01-07,Vente,131990.0
521,521,2020-01-07,Vente,133950.0
522,522,2020-01-07,Vente,405000.0
523,523,2020-01-07,Vente,151000.0
524,524,2020-01-07,Vente,581097.6
525,525,2020-01-07,Vente,245000.0
526,526,2020-01-07,Vente,198000.0
527,527,2020-01-07,Vente,233000.0
528,528,2020-01-07,Vente,73500.0
529,529,2020-01-07,Vente,140000.0
530,530,2020-01-07,Vente,66000.0
531,531,2020-01-07,Vente,42500.0
532,532,2020-01-07,Vente,59000.0
533,533,2020-01-07,Vente,66820.0
534,534,2020-01-07,Vente,51000.0
535,535,2020-01-07,Vente,257965.0
536,536,2020-01-07,Vente,150000.0
537,537,2020-01-07,Vente,172000.0
538,538,2020-01-07,Vente,75000.0
539,539,2020-01-07,Vente,140000.0
540,540,2020-01-07,Vente,169600.0
541,541,2020-01-07,Vente,12000.0
542,542,2020-01-07,Vente,74900.0
543,543,2020-01-07,Vente,162000.0
544,544,2020-01-07,Vente,88000.0
545,545,2020-01-07,Vente,87000.0
546,546,2020-01-07,Vente,361000.0
547,547,2020-01-07,Vente,218000.0
548,548,2020-01-07,Vente,159000.0
549,549,2020-01-07,Vente,107000.0
550,550,2020-01-07,Vente,82500.0
551,551,2020-01-07,Vente,123000.0
552,552,2020-01-07,Vente,97000.0
553,553,2020-01-07,Vente,39000.0
554,554,2020-01-07,Vente,34450.0
555,555,2020-01-07,Vente,80300.0
556,556,2020-01-07,Vente,102000.0
557,557,2020-01-07,Vente,92600.0
558,558,2020-01-07,Vente,59000.0
559,559,2020-01-07,Vente,84500.0
560,560,2020-01-07,Vente,111800.0
561,561,2020-01-07,Vente,51500.0
562,562,2020-01-07,Vente,73773.58
563,563,2020-01-07,Vente,166450.0
564,564,2020-01-07,Vente,165000.0
565,565,2020-01-07,Vente,371500.0
566,566,2020-01-07,Vente,150400.0
567,567,2020-01-07,Vente,204620.0
568,568,2020-01-07,Vente,118400.0
569,569,2020-01-07,Vente,216000.0
570,570,2020-01-07,Vente,233000.0
571,571,2020-01-07,Vente,60000.0
572,572,2020-01-07,Vente,123000.0
573,573,2020-01-07,Vente,144310.0
574,574,2020-01-07,Vente,76400.0
575,575,2020-01-07,Vente,69000.0
576,576,2020-01-07,Vente,128420.0
577,577,2020-01-07,Vente,80750.0
578,578,2020-01-07,Vente,196400.0
579,579,2020-01-07,Vente,57000.0
580,580,2020-01-07,Vente,602500.0
581,581,2020-01-07,Vente,283050.0
582,582,2020-01-07,Vente,192000.0
583,583,2020-01-07,Vente,61610.0
584,584,2020-01-07,Vente,86980.0
585,585,2020-01-07,Vente,84800.0
586,586,2020-01-07,Vente,253000.0
587,587,2020-01-07,Vente,56500.0
588,588,2020-01-07,Vente,45600.0
589,589,2020-01-07,Vente,245230.0
590,590,2020-01-07,Vente,119000.0
591,591,2020-01-07,Vente,92000.0
592,592,2020-01-07,Vente,179900.0
593,593,2020-01-07,Vente,98000.0
594,594,2020-01-07,Vente,127000.0
595,595,2020-01-07,Vente,167300.0
596,596,2020-01-07,Vente,143300.0
597,597,2020-01-07,Vente,52000.0
598,598,2020-01-07,Vente,92000.0
599,599,2020-01-07,Vente,137900.0
600,600,2020-01-07,Vente,172900.0
601,601,2020-01-07,Vente,132197.0
602,602,2020-01-07,Vente,11000.0
603,603,2020-01-07,Vente,120000.0
604,604,2020-01-07,Vente,585000.0
605,605,2020-01-07,Vente,67500.0
606,606,2020-01-07,Vente,31500.0
607,607,2020-01-07,Vente,275000.0
608,608,2020-01-07,Vente,74000.0
609,609,2020-01-07,Vente,90000.0
610,610,2020-01-07,Vente,209750.0
611,611,2020-01-07,Vente,196500.0
612,612,2020-01-07,Vente,142040.0
613,613,2020-01-07,Vente,183400.0
614,614,2020-01-07,Vente,170000.0
615,615,2020-01-07,Vente,261470.0
616,616,2020-01-07,Vente,630000.0
617,617,2020-01-07,Vente,40000.0
618,618,2020-01-07,Vente,207200.0
619,619,2020-01-07,Vente,266000.0
620,620,2020-01-07,Vente,223090.0
621,621,2020-01-07,Vente,1250000.0
622,622,2020-01-07,Vente,680000.0
623,623,2020-01-07,Vente,459000.0
624,624,2020-01-07,Vente,312000.0
625,625,2020-01-07,Vente,519000.0
626,626,2020-01-07,Vente,324000.0
627,627,2020-01-07,Vente,308729.0
628,628,2020-01-07,Vente,554690.0
629,629,2020-01-07,Vente,231000.0
630,630,2020-01-07,Vente,189000.0
631,631,2020-01-07,Vente,145000.0
632,632,2020-01-07,Vente,192500.0
633,633,2020-01-07,Vente,337000.0
634,634,2020-01-07,Vente,200000.0
635,635,2020-01-07,Vente,70000.0
636,636,2020-01-07,Vente,371270.0
637,637,2020-01-07,Vente,108600.0
638,638,2020-01-07,Vente,423000.0
639,639,2020-01-07,Vente,132500.0
640,640,2020-01-07,Vente,287000.0
641,641,2020-01-07,Vente,468000.0
642,642,2020-01-07,Vente,111500.0
643,643,2020-01-07,Vente,175000.0
644,644,2020-01-07,Vente,47500.0
645,645,2020-01-07,Vente,116000.0
646,646,2020-01-07,Vente,78500.0
647,647,2020-01-07,Vente,138500.0
648,648,2020-01-07,Vente,540000.0
649,649,2020-01-07,Vente,71500.0
650,650,2020-01-07,Vente,421280.0
651,651,2020-01-07,Vente,234000.0
652,652,2020-01-07,Vente,199120.0
653,653,2020-01-07,Vente,339200.0
654,654,2020-01-07,Vente,514142.0
655,655,2020-01-07,Vente,201813.0
656,656,2020-01-07,Vente,202500.0
657,657,2020-01-07,Vente,220000.0
658,658,2020-01-07,Vente,315000.0
659,659,2020-01-07,Vente,149000.0
660,660,2020-01-07,Vente,35000.0
661,661,2020-01-08,Vente,720000.0
662,662,2020-01-08,Vente,190000.0
663,663,2020-01-08,Vente,241030.0
664,664,2020-01-08,Vente,620000.0
665,665,2020-01-08,Vente,97500.0
666,666,2020-01-08,Vente,309000.0
667,667,2020-01-08,Vente,490000.0
668,668,2020-01-08,Vente,340750.0
669,669,2020-01-08,Vente,214700.0
670,670,2020-01-08,Vente,415000.0
671,671,2020-01-08,Vente,195000.0
672,672,2020-01-08,Vente,205000.0
673,673,2020-01-08,Vente,146880.0
674,674,2020-01-08,Vente,95000.0
675,675,2020-01-08,Vente,57000.0
676,676,2020-01-08,Vente,48420.0
677,677,2020-01-08,Vente,93500.0
678,678,2020-01-08,Vente,98000.0
679,679,2020-01-08,Vente,75500.0
680,680,2020-01-08,Vente,105000.0
681,681,2020-01-08,Vente,119800.0
682,682,2020-01-08,Vente,40000.0
683,683,2020-01-08,Vente,152000.0
684,684,2020-01-08,Vente,85000.0
685,685,2020-01-08,Vente,68000.0
686,686,2020-01-08,Vente,65748.0
687,687,2020-01-08,Vente,76500.0
688,688,2020-01-08,Vente,242000.0
689,689,2020-01-08,Vente,223400.0
690,690,2020-01-08,Vente,201400.0
691,691,2020-01-08,Vente,215000.0
692,692,2020-01-08,Vente,148000.0
693,693,2020-01-08,Vente,187000.0
694,694,2020-01-08,Vente,22000.0
695,695,2020-01-08,Vente,21750.0
696,696,2020-01-08,Vente,68500.0
